n_datasets	n_subjects	release_dates
2	47.0	2020-05-15
1	28.0	2020-05-17
2	33.0	2020-05-18
8	158.0	2020-05-19
2	442.0	2020-05-24
1	86.0	2020-05-26
5	204.0	2020-06-01
1	36.0	2020-06-04
2	88.0	2020-06-09
1	39.0	2020-06-11
1	3.0	2020-06-16
2	65.0	2020-06-17
1	2.0	2020-06-24
2	54.0	2020-06-26
2	50.0	2020-06-29
1	18.0	2020-07-07
2	63.0	2020-07-10
2	54.0	2020-07-15
3	99.0	2020-07-17
1	18.0	2020-07-21
1	3.0	2020-07-28
1	53.0	2020-07-29
1	92.0	2020-08-06
3	41.0	2020-08-07
1	36.0	2020-08-11
2	44.0	2020-08-12
1	17.0	2020-08-14
1	6.0	2020-08-17
1	26.0	2020-08-18
2	52.0	2020-08-19
1	20.0	2020-08-24
1	159.0	2020-08-25
1	1.0	2020-08-29
2	31.0	2020-08-31
1	49.0	2020-09-02
1	13.0	2020-09-07
1	58.0	2020-09-10
3	205.0	2020-09-15
2	80.0	2020-09-16
1	31.0	2020-09-21
1	3.0	2020-09-22
1	17.0	2020-09-23
1	35.0	2020-09-29
2	72.0	2020-09-30
2	22.0	2020-10-01
1	25.0	2020-10-06
1	96.0	2020-10-07
2	25.0	2020-10-13
1	33.0	2020-10-14
1	16.0	2020-10-16
1	19.0	2020-10-21
1	20.0	2020-10-25
1	75.0	2020-10-27
1	144.0	2020-10-29
1	20.0	2020-10-31
1	18.0	2020-11-03
1	32.0	2020-11-06
1	40.0	2020-11-10
1	9.0	2020-11-11
1	20.0	2020-11-12
2	22.0	2020-11-13
1	10.0	2020-11-16
1	11.0	2020-11-20
1	21.0	2020-11-22
2	26.0	2020-11-30
1	35.0	2020-12-02
3	1056.0	2020-12-03
1	18.0	2020-12-04
2	43.0	2020-12-08
1	7.0	2020-12-09
1	57.0	2020-12-10
2	32.0	2020-12-15
1	38.0	2020-12-16
2	36.0	2020-12-17
9	10.0	2020-12-18
1	13.0	2020-12-23
1	7.0	2020-12-28
1	24.0	2020-12-30
3	52.0	2021-01-02
1	23.0	2021-01-04
2	49.0	2021-01-05
1	9.0	2021-01-06
1	22.0	2021-01-07
1	18.0	2021-01-13
1	20.0	2021-01-14
1	122.0	2021-01-18
1	21.0	2021-01-19
1	145.0	2021-01-21
1	21.0	2021-01-24
1	50.0	2021-01-27
1	55.0	2021-01-28
1	24.0	2021-02-01
1	26.0	2021-02-02
1	20.0	2021-02-04
2	178.0	2021-02-05
1	21.0	2021-02-06
1	56.0	2021-02-08
1	57.0	2021-02-09
1	25.0	2021-02-12
1	26.0	2021-02-14
1	17.0	2021-02-15
1	110.0	2021-02-16
2	108.0	2021-02-17
2	131.0	2021-02-19
1	91.0	2021-02-22
2	47.0	2021-02-23
3	73.0	2021-02-24
2	54.0	2021-02-25
1	18.0	2021-02-26
1	55.0	2021-03-04
1	30.0	2021-03-06
1	40.0	2021-03-07
1	20.0	2021-03-10
1	20.0	2021-03-11
1	1.0	2021-03-12
1	4.0	2021-03-15
1	51.0	2021-03-16
1	25.0	2021-03-18
1	40.0	2021-03-20
1	18.0	2021-03-26
1	1.0	2021-03-30
1	133.0	2021-04-05
1	29.0	2021-04-10
2	373.0	2021-04-16
2	26.0	2021-04-17
1	44.0	2021-04-20
1	3.0	2021-04-27
1	29.0	2021-04-30
1	24.0	2021-05-02
1	34.0	2021-05-07
1	166.0	2021-05-08
1	11.0	2021-05-16
2	174.0	2021-05-20
1	112.0	2021-05-26
1	47.0	2021-05-29
1	28.0	2021-06-05
1	75.0	2021-06-10
1	63.0	2021-06-13
1	47.0	2021-06-15
1	96.0	2021-06-22
2	35.0	2021-06-23
1	36.0	2021-06-25
1	51.0	2021-06-28
1	1.0	2021-07-01
2	122.0	2021-07-02
1	25.0	2021-07-10
1	13.0	2021-07-12
2	29.0	2021-07-13
3	98.0	2021-07-19
1	30.0	2021-07-23
1	50.0	2021-07-27
1	3.0	2021-07-30
1	5.0	2021-08-02
2	121.0	2021-08-06
1	40.0	2021-08-08
1	15.0	2021-08-09
1	60.0	2021-08-10
1	5.0	2021-08-11
1	62.0	2021-08-12
3	83.0	2021-08-17
1		2021-08-19
2	40.0	2021-08-20
1	27.0	2021-08-21
1	90.0	2021-08-23
1	20.0	2021-08-24
1	111.0	2021-08-25
2	72.0	2021-08-30
1	49.0	2021-09-05
1	48.0	2021-09-08
1	4.0	2021-09-14
1	20.0	2021-09-16
1	57.0	2021-09-17
1	10.0	2021-09-20
1	12.0	2021-09-22
1		2021-09-25
3	58.0	2021-09-28
2	50.0	2021-09-29
2	186.0	2021-10-01
1	37.0	2021-10-03
1	60.0	2021-10-15
1	6.0	2021-10-16
2	100.0	2021-10-19
1	19.0	2021-10-20
1	92.0	2021-10-21
2	7.0	2021-10-22
2	36.0	2021-10-26
1	14.0	2021-10-27
1	22.0	2021-11-04
1	62.0	2021-11-05
1	8.0	2021-11-08
1	56.0	2021-11-09
1	79.0	2021-11-10
2	48.0	2021-11-12
2	54.0	2021-11-15
1	1.0	2021-11-22
1	7.0	2021-11-23
2	326.0	2021-12-02
2	19.0	2021-12-06
1	44.0	2021-12-13
1	6.0	2021-12-16
2	142.0	2021-12-17
1	98.0	2022-01-03
1	8.0	2022-01-05
1	13.0	2022-01-07
1	52.0	2022-01-08
1	3.0	2022-01-11
1	6.0	2022-01-12
1	117.0	2022-01-14
1	301.0	2022-01-18
1	43.0	2022-01-20
4	209.0	2022-01-24
1	33.0	2022-01-25
1	24.0	2022-01-26
1	23.0	2022-02-01
2	78.0	2022-02-08
2	78.0	2022-02-09
2	20.0	2022-02-15
1	31.0	2022-02-22
1	13.0	2022-02-24
1	20.0	2022-02-25
1	1.0	2022-03-01
1	74.0	2022-03-03
1	62.0	2022-03-04
1	29.0	2022-03-09
1	2.0	2022-03-10
1	80.0	2022-03-13
1	32.0	2022-03-17
1	29.0	2022-03-18
1	36.0	2022-03-30
2	78.0	2022-03-31
1	35.0	2022-04-01
1	8.0	2022-04-05
1	20.0	2022-04-07
1	12.0	2022-04-11
1	30.0	2022-04-13
1	18.0	2022-04-14
1	9.0	2022-04-18
2	40.0	2022-04-19
1	8.0	2022-04-22
1	31.0	2022-04-26
3	1032.0	2022-04-28
1	27.0	2022-04-29
1	13.0	2022-05-02
6	368.0	2022-05-04
2	75.0	2022-05-05
1	19.0	2022-05-06
1	2951.0	2022-05-15
1	37.0	2022-05-20
1	20.0	2022-05-23
2	33.0	2022-05-24
1	66.0	2022-05-26
1	36.0	2022-05-27
1	20.0	2022-05-31
1	417.0	2022-06-03
1	1.0	2022-06-04
1	66.0	2022-06-06
1	12.0	2022-06-07
2	2.0	2022-06-09
2	70.0	2022-06-13
2	78.0	2022-06-14
2	44.0	2022-06-15
1	23.0	2022-06-16
1	71.0	2022-06-17
1	1202.0	2022-06-22
1	48.0	2022-06-24
1	29.0	2022-06-29
1	20.0	2022-07-01
1	3.0	2022-07-02
1	14.0	2022-07-06
1	32.0	2022-07-08
1	20.0	2022-07-11
1	67.0	2022-07-20
2	38.0	2022-07-21
1	10.0	2022-07-25
1	118.0	2022-07-27
1	70.0	2022-08-01
2	17.0	2022-08-02
1	39.0	2022-08-04
1	157.0	2022-08-05
1	35.0	2022-08-10
1	80.0	2022-08-15
1	1.0	2022-08-17
1	49.0	2022-08-19
2	23.0	2022-08-22
1	35.0	2022-08-30
1	64.0	2022-09-01
2	74.0	2022-09-07
1	21.0	2022-09-13
1	5.0	2022-09-14
1	40.0	2022-09-18
1	57.0	2022-09-21
1	30.0	2022-09-26
1	2.0	2022-09-27
1	4.0	2022-09-30
1	148.0	2022-10-01
1	18.0	2022-10-07
1	5.0	2022-10-10
1	3.0	2022-10-13
1	26.0	2022-10-15
1	11.0	2022-10-20
2	140.0	2022-10-21
2	100.0	2022-10-27
1	71.0	2022-11-02
1	23.0	2022-11-04
2	60.0	2022-11-08
1	22.0	2022-11-09
1	2.0	2022-11-25
1	24.0	2022-11-28
1	1.0	2022-11-30
1	9.0	2022-12-01
1	57.0	2022-12-02
1	24.0	2022-12-06
1	57.0	2022-12-10
1	22.0	2022-12-12
1	1.0	2022-12-13
3	188.0	2022-12-15
2	7.0	2023-01-05
1	78.0	2023-01-12
1	1.0	2023-01-13
1	32.0	2023-01-16
1	58.0	2023-01-17
1	25.0	2023-01-18
1	19.0	2023-01-20
2	50.0	2023-01-23
1	12.0	2023-01-24
3	84.0	2023-01-25
3	87.0	2023-01-26
2	117.0	2023-01-30
1	42.0	2023-01-31
1	2.0	2023-02-01
1	20.0	2023-02-03
1	41.0	2023-02-06
3	199.0	2023-02-07
2	17.0	2023-02-08
1	15.0	2023-02-09
1	170.0	2023-02-14
1	1.0	2023-02-15
1	48.0	2023-02-16
1	88.0	2023-02-17
1	20.0	2023-02-19
1	3.0	2023-02-20
3	53.0	2023-02-22
1	74.0	2023-02-23
1	45.0	2023-02-24
3	42.0	2023-03-03
1	40.0	2023-03-04
1	30.0	2023-03-05
1	33.0	2023-03-06
2	77.0	2023-03-07
1	10.0	2023-03-10
1	34.0	2023-03-13
1	20.0	2023-03-14
1	110.0	2023-03-16
1	21.0	2023-03-17
1	10.0	2023-03-22
2	86.0	2023-03-24
2	63.0	2023-03-30
1	14.0	2023-04-02
2	129.0	2023-04-07
1	1.0	2023-04-19
2	52.0	2023-04-20
1	16.0	2023-04-21
2	88.0	2023-04-24
3	22.0	2023-04-26
1	48.0	2023-05-02
1	23.0	2023-05-04
1	2.0	2023-05-16
1	5.0	2023-05-17
1	146.0	2023-05-24
4	441.0	2023-05-25
2	406.0	2023-06-01
1	4.0	2023-06-02
1	149.0	2023-06-07
1	54.0	2023-06-09
3	82.0	2023-06-13
1	32.0	2023-06-15
1	27.0	2023-06-16
1	2.0	2023-06-30
1	40.0	2023-07-05
1	9.0	2023-07-06
3	172.0	2023-07-07
2	85.0	2023-07-10
2	59.0	2023-07-11
1	2.0	2023-07-13
1	26.0	2023-07-18
1	24.0	2023-07-20
2	197.0	2023-07-21
1	44.0	2023-07-27
1	53.0	2023-07-28
4	129.0	2023-07-31
1	28.0	2023-08-01
1	56.0	2023-08-02
1	15.0	2023-08-04
3	62.0	2023-08-05
1	8.0	2023-08-06
1	52.0	2023-08-07
1	50.0	2023-08-09
1	45.0	2023-08-12
1	30.0	2023-08-15
5	232.0	2023-08-16
2	44.0	2023-08-18
2	221.0	2023-08-23
2	108.0	2023-08-26
1	2.0	2023-08-28
1	4.0	2023-09-03
1	1.0	2023-09-06
2	36.0	2023-09-07
2	93.0	2023-09-08
1	19.0	2023-09-11
2	38.0	2023-09-13
2	44.0	2023-09-14
1	55.0	2023-09-18
1	395.0	2023-09-19
1	20.0	2023-09-20
2	17.0	2023-09-22
2	89.0	2023-09-25
1	2.0	2023-09-26
2	111.0	2023-09-28
1	17.0	2023-10-02
2	45.0	2023-10-04
1	280.0	2023-10-10
1	42.0	2023-10-12
1	15.0	2023-10-16
1	24.0	2023-10-18
1	38.0	2023-10-19
2	262.0	2023-10-20
1	68.0	2023-10-24
6	81.0	2023-10-26
1	12.0	2023-10-27
3	88.0	2023-10-30
1	60.0	2023-11-02
1	58.0	2023-11-03
2	86.0	2023-11-06
1	11.0	2023-11-09
1	10.0	2023-11-10
1	9.0	2023-11-12
4	65.0	2023-11-13
7	72.0	2023-11-14
1	73.0	2023-11-16
2	38.0	2023-11-23
1	49.0	2023-11-29
1	5.0	2023-11-30
1	40.0	2023-12-12
1	40.0	2023-12-14
1	1.0	2023-12-15
4	2017.0	2023-12-20
7	298.0	2023-12-21
3	88.0	2024-01-04
1	59.0	2024-01-05
1	40.0	2024-01-07
1	20.0	2024-01-09
1	12.0	2024-01-16
1	44.0	2024-01-17
1	124.0	2024-01-19
1	22.0	2024-01-20
1	5.0	2024-01-25
1	22.0	2024-01-30
1	32.0	2024-02-03
1	103.0	2024-02-04
2	149.0	2024-02-06
1	49.0	2024-02-07
2	59.0	2024-02-08
5	98.0	2024-02-12
1	20.0	2024-02-17
1	79.0	2024-02-18
1	62.0	2024-02-23
3	77.0	2024-02-26
1	20.0	2024-02-28
1	51.0	2024-02-29
1	41.0	2024-03-04
1	7.0	2024-03-05
3	287.0	2024-03-06
1	40.0	2024-03-07
1	60.0	2024-03-09
3	199.0	2024-03-11
2	186.0	2024-03-15
1	30.0	2024-03-17
2	65.0	2024-03-20
2	108.0	2024-03-21
1	11.0	2024-03-24
2	106.0	2024-03-25
1	72.0	2024-04-03
2	2.0	2024-04-07
1	1.0	2024-04-08
3		2024-04-09
1	60.0	2024-04-10
2	15.0	2024-04-11
2	81.0	2024-04-12
1	10.0	2024-04-13
2	88.0	2024-04-15
3	74.0	2024-04-18
3	86.0	2024-04-19
1	63.0	2024-04-25
1	42.0	2024-04-26
1	91.0	2024-04-29
1	1.0	2024-05-01
2	35.0	2024-05-02
1	34.0	2024-05-05
1	15.0	2024-05-06
1	58.0	2024-05-10
1	4.0	2024-05-13
2	119.0	2024-05-15
1	27.0	2024-05-16
1	16.0	2024-05-17
1	20.0	2024-05-22
1	53.0	2024-05-23
1	3.0	2024-05-24
1	30.0	2024-05-28
3	39.0	2024-05-29
1	20.0	2024-06-01
2	28.0	2024-06-03
1	13.0	2024-06-04
1	73.0	2024-06-05
1	10.0	2024-06-06
1	74.0	2024-06-08
2	113.0	2024-06-11
2	89.0	2024-06-12
2	367.0	2024-06-14
1	12.0	2024-06-17
1	241.0	2024-06-18
6	264.0	2024-06-20
2		2024-06-21
1	33.0	2024-06-22
